wave,40_30_30
1.249,0.070364903
1.25,0.070364941
1.251,0.070365699
1.252,0.070366463
1.253,0.070367232
1.254,0.070368005
1.255,0.070368784
1.256,0.070369568
1.257,0.070370356
1.258,0.07037115
1.259,0.070371948
1.26,0.070372752
1.261,0.070373561
1.262,0.070374374
1.263,0.070375193
1.264,0.070376016
1.265,0.070376845
1.266,0.070377678
1.267,0.070378517
1.268,0.07037936
1.269,0.070380208
1.27,0.070381062
1.271,0.070382799
1.272,0.07038454
1.273,0.070386284
1.274,0.070388032
1.275,0.070389783
1.276,0.070391538
1.277,0.070393297
1.278,0.070395059
1.279,0.070396825
1.28,0.070398594
1.281,0.070400192
1.282,0.070401794
1.283,0.0704034
1.284,0.07040501
1.285,0.070406624
1.286,0.070408241
1.287,0.070409862
1.288,0.070411487
1.289,0.070413116
1.29,0.070414749
1.291,0.070416212
1.292,0.070417679
1.293,0.070419151
1.294,0.070420626
1.295,0.070422106
1.296,0.07042359
1.297,0.070425077
1.298,0.070426569
1.299,0.070428065
1.3,0.070429565
1.301,0.070431241
1.302,0.070432921
1.303,0.070434604
1.304,0.070436291
1.305,0.070437982
1.306,0.070439677
1.307,0.070441375
1.308,0.070443078
1.309,0.070444784
1.31,0.070446494
1.311,0.070447867
1.312,0.070449244
1.313,0.070450625
1.314,0.070452011
1.315,0.070453401
1.316,0.070454795
1.317,0.070456194
1.318,0.070457597
1.319,0.070459004
1.32,0.070460416
1.321,0.070462001
1.322,0.070463075
1.323,0.070464153
1.324,0.070465235
1.325,0.070466321
1.326,0.070467412
1.327,0.070468506
1.328,0.070469604
1.329,0.070470707
1.33,0.070471813
1.331,0.070472588
1.332,0.070473367
1.333,0.070474151
1.334,0.07047494
1.335,0.070475733
1.336,0.07047653
1.337,0.070477332
1.338,0.070478139
1.339,0.07047895
1.34,0.070479766
1.341,0.070480086
1.342,0.070480412
1.343,0.070480743
1.344,0.07048108
1.345,0.070481421
1.346,0.070481768
1.347,0.07048212
1.348,0.070482478
1.349,0.07048284
1.35,0.070483208
1.351,0.070483912
1.352,0.070484621
1.353,0.070485334
1.354,0.070486052
1.355,0.070486774
1.356,0.070487502
1.357,0.070488234
1.358,0.070488971
1.359,0.070489712
1.36,0.070490459
1.361,0.070489672
1.362,0.07048889
1.363,0.070488113
1.364,0.070487342
1.365,0.070486576
1.366,0.070485816
1.367,0.07048506
1.368,0.07048431
1.369,0.070483566
1.37,0.070482826
1.371,0.070482488
1.372,0.070482156
1.373,0.07048183
1.374,0.07048151
1.375,0.070481198
1.376,0.070480891
1.377,0.070480591
1.378,0.070480297
1.379,0.070480009
1.38,0.070479728
1.381,0.070477437
1.382,0.070475154
1.383,0.070472878
1.384,0.07047061
1.385,0.07046835
1.386,0.070466098
1.387,0.070463853
1.388,0.070461616
1.389,0.070459387
1.39,0.070457166
1.391,0.070454718
1.392,0.07045228
1.393,0.070449852
1.394,0.070447433
1.395,0.070445024
1.396,0.070442625
1.397,0.070440236
1.398,0.070437856
1.399,0.070435486
1.4,0.070433125
1.401,0.070411394
